age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Decision
middle-aged,Private,Some-college,Married,Other-occupations,Husband,White,Male,none,none,fulltime,United-States,1
senior,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,fulltime,Latin-America,0
middle-aged,Private,Associates,Married,Service,Husband,White,Male,none,none,fulltime,Latin-America,0
middle-aged,Private,HS-grad,Married,Adm-clerical,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,White,Male,low,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,Sales,Husband,White,Male,low,none,fulltime,United-States,0
middle-aged,?,Dropout,Not-married,?,Not-in-family,White,Male,none,none,fulltime,?,0
senior,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Doctorate,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,Some-college,Not-married,Other-occupations,Not-in-family,White,Male,none,none,overtime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Not-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
senior,Private,HS-grad,Married,Adm-clerical,Wife,White,Female,none,none,fulltime,United-States,1
senior,Self-emp,Some-college,Married,White-collar,Husband,White,Male,none,none,overtime,United-States,1
young,?,Some-college,Never-married,?,Own-child,White,Male,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Separated,Sales,Own-child,Black,Female,none,none,fulltime,United-States,0
middle-aged,Self-emp,Bachelors,Married,Sales,Husband,White,Male,none,none,unhealthy,United-States,1
young,Private,Some-college,Never-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
old,Private,Some-college,Married,Prof-specialty,Other-relative,White,Male,none,none,parttime,United-States,0
middle-aged,Private,HS-grad,Never-married,Service,Own-child,White,Male,none,none,fulltime,Latin-America,0
middle-aged,Private,Associates,Married,Adm-clerical,Husband,White,Male,none,none,fulltime,United-States,0
old,?,Dropout,Married,?,Husband,White,Male,none,none,parttime,United-States,0
young,Private,Dropout,Never-married,Service,Own-child,White,Female,none,none,parttime,United-States,0
middle-aged,Other-gov,Dropout,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
young,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,none,none,fulltime,United-States,0
senior,Private,Bachelors,Married,Service,Husband,White,Male,none,none,fulltime,Other,0
senior,Private,HS-grad,Married,Service,Wife,White,Female,none,none,fulltime,United-States,0
senior,Private,HS-grad,Married,Sales,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,HS-grad,Not-married,Blue-collar,Not-in-family,White,Female,high,none,fulltime,United-States,1
senior,Private,HS-grad,Not-married,Sales,Own-child,White,Female,none,none,fulltime,United-States,0
senior,Other-gov,HS-grad,Married,Other-occupations,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Masters,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Dropout,Never-married,Sales,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,none,none,overtime,United-States,1
senior,Private,Associates,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Not-married,Blue-collar,Unmarried,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Not-married,Blue-collar,Unmarried,Black,Female,none,none,parttime,United-States,0
middle-aged,Private,HS-grad,Married,Sales,Wife,Asian-Pac-Islander,Female,none,low,fulltime,?,0
middle-aged,Other-gov,Bachelors,Married,Other-occupations,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Other-gov,Some-college,Never-married,Blue-collar,Not-in-family,White,Male,none,none,overtime,United-States,0
senior,Self-emp,Doctorate,Married,Prof-specialty,Husband,White,Male,none,high,overtime,United-States,1
middle-aged,Private,Some-college,Married,Sales,Husband,White,Male,none,none,overtime,United-States,1
senior,Private,Associates,Not-married,White-collar,Unmarried,White,Female,none,none,fulltime,British-Commonwealth,0
middle-aged,Federal-gov,HS-grad,Never-married,Service,Own-child,Black,Male,none,none,fulltime,United-States,0
old,Private,Masters,Married,White-collar,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Bachelors,Married,White-collar,Husband,White,Male,high,none,overtime,United-States,1
senior,Self-emp,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,none,none,overtime,United-States,0
young,Private,Some-college,Never-married,Other-occupations,Own-child,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Never-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Self-emp,HS-grad,Married,Blue-collar,Husband,White,Male,low,none,fulltime,United-States,1
young,?,Dropout,Never-married,?,Own-child,White,Female,high,none,fulltime,United-States,0
middle-aged,Private,Dropout,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
middle-aged,Other-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
young,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Prof-school,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,United-States,1
senior,Self-emp,HS-grad,Married,Service,Husband,White,Male,none,high,overtime,British-Commonwealth,1
middle-aged,Private,Some-college,Married,Sales,Wife,White,Female,low,none,parttime,United-States,0
middle-aged,Private,HS-grad,Never-married,Blue-collar,Own-child,White,Female,none,none,fulltime,United-States,0
senior,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
senior,Self-emp,Some-college,Married,Sales,Husband,White,Male,none,none,overtime,United-States,0
senior,Other-gov,Associates,Married,Blue-collar,Husband,Black,Male,none,none,fulltime,United-States,1
senior,Private,Some-college,Married,Sales,Husband,White,Male,none,none,overtime,United-States,0
young,Private,HS-grad,Never-married,Blue-collar,Not-in-family,White,Male,none,none,overtime,United-States,0
young,Private,Some-college,Never-married,Service,Own-child,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,White-collar,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Bachelors,Never-married,White-collar,Own-child,Black,Male,none,none,fulltime,Euro-1,0
middle-aged,Other-gov,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,1
young,Private,Some-college,Never-married,Service,Own-child,Black,Male,none,none,fulltime,United-States,0
senior,Private,Bachelors,Married,White-collar,Wife,White,Female,none,none,fulltime,United-States,1
young,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,none,low,fulltime,United-States,0
middle-aged,Private,Associates,Married,Adm-clerical,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,?,HS-grad,Married,?,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Not-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Associates,Never-married,Sales,Not-in-family,White,Female,none,none,overtime,United-States,0
young,Private,HS-grad,Never-married,Service,Not-in-family,White,Female,none,low,fulltime,United-States,0
middle-aged,Self-emp,HS-grad,Married,Blue-collar,Husband,White,Male,low,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,Sales,Husband,White,Male,none,none,overtime,United-States,0
senior,Private,Associates,Not-married,Other-occupations,Not-in-family,Black,Female,none,none,fulltime,United-States,0
middle-aged,Federal-gov,Masters,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,Other,1
middle-aged,Self-emp,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Associates,Married,Adm-clerical,Wife,White,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Sales,Own-child,White,Male,none,none,parttime,United-States,0
senior,Private,Some-college,Married,Blue-collar,Husband,Asian-Pac-Islander,Male,none,none,fulltime,United-States,1
senior,Self-emp,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Never-married,Sales,Own-child,White,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Service,Own-child,White,Male,none,none,fulltime,Latin-America,0
middle-aged,Private,Associates,Never-married,Prof-specialty,Not-in-family,White,Female,none,low,fulltime,United-States,1
old,Private,Some-college,Never-married,Other-occupations,Other-relative,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Never-married,Blue-collar,Unmarried,Black,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Married,Service,Husband,White,Male,none,none,parttime,United-States,0
middle-aged,Private,HS-grad,Widowed,Service,Unmarried,White,Female,none,none,parttime,United-States,0
senior,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,high,fulltime,United-States,0
middle-aged,?,Some-college,Not-married,?,Not-in-family,White,Female,none,none,fulltime,United-States,0
senior,Other-gov,Some-college,Not-married,Adm-clerical,Unmarried,White,Female,none,none,fulltime,Latin-America,0
middle-aged,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Never-married,White-collar,Other-relative,Asian-Pac-Islander,Female,none,none,fulltime,SE-Asia,0
young,Private,HS-grad,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
senior,?,HS-grad,Not-married,?,Not-in-family,White,Male,none,none,overtime,United-States,1
senior,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
young,Private,Bachelors,Never-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
old,Self-emp,Some-college,Separated,Sales,Unmarried,Black,Male,none,low,parttime,United-States,0
middle-aged,Private,HS-grad,Not-married,Blue-collar,Not-in-family,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Bachelors,Separated,Service,Other-relative,Black,Male,none,none,overtime,United-States,0
old,?,Dropout,Not-married,?,Not-in-family,White,Female,none,none,parttime,United-States,0
young,Private,HS-grad,Never-married,Service,Unmarried,White,Female,none,none,fulltime,United-States,0
middle-aged,Self-emp,Masters,Not-married,White-collar,Unmarried,Asian-Pac-Islander,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Never-married,White-collar,Not-in-family,Asian-Pac-Islander,Female,none,none,fulltime,British-Commonwealth,0
middle-aged,Self-emp,Masters,Married,Sales,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Some-college,Not-married,Service,Unmarried,White,Female,none,none,fulltime,Latin-America,0
middle-aged,Federal-gov,Associates,Never-married,White-collar,Not-in-family,White,Male,none,none,overtime,United-States,0
senior,Other-gov,Masters,Widowed,Other-occupations,Unmarried,White,Male,none,none,fulltime,United-States,0
young,Private,Dropout,Never-married,Blue-collar,Own-child,White,Male,none,none,parttime,United-States,0
old,Other-gov,Associates,Widowed,Prof-specialty,Not-in-family,White,Female,none,none,parttime,United-States,0
middle-aged,Private,HS-grad,Never-married,Service,Not-in-family,White,Male,none,high,fulltime,United-States,0
middle-aged,Other-gov,HS-grad,Married,Other-occupations,Husband,White,Male,none,none,fulltime,United-States,0
senior,Private,Some-college,Married,Sales,Husband,White,Male,none,high,fulltime,United-States,1
middle-aged,Private,Bachelors,Never-married,Blue-collar,Not-in-family,White,Male,none,none,overtime,United-States,0
middle-aged,Other-gov,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,HS-grad,Not-married,Sales,Unmarried,White,Female,none,none,parttime,United-States,0
young,Private,HS-grad,Never-married,Blue-collar,Own-child,Black,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Never-married,Blue-collar,Not-in-family,Black,Male,none,none,fulltime,United-States,0
young,Private,HS-grad,Never-married,Service,Own-child,White,Male,none,none,parttime,United-States,0
middle-aged,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,unhealthy,United-States,0
middle-aged,Other-gov,Some-college,Married,White-collar,Husband,Black,Male,none,none,fulltime,United-States,1
middle-aged,Private,Some-college,Not-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Never-married,Blue-collar,Not-in-family,Black,Male,none,none,overtime,United-States,0
middle-aged,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,fulltime,Latin-America,1
middle-aged,Federal-gov,Some-college,Married,Adm-clerical,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,HS-grad,Married,Adm-clerical,Husband,Black,Male,none,none,fulltime,United-States,0
middle-aged,Self-emp,Bachelors,Not-married,White-collar,Not-in-family,White,Female,none,none,fulltime,United-States,0
senior,?,Bachelors,Not-married,?,Not-in-family,White,Female,none,none,overtime,United-States,0
middle-aged,Private,Masters,Married,Prof-specialty,Wife,White,Female,none,none,overtime,United-States,0
senior,Other-gov,Doctorate,Married,Prof-specialty,Husband,White,Male,none,none,parttime,United-States,1
middle-aged,Private,Some-college,Not-married,Blue-collar,Not-in-family,Black,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Other-gov,Bachelors,Married,Blue-collar,Husband,Black,Male,none,none,fulltime,United-States,0
senior,Private,Some-college,Married,Other-occupations,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Federal-gov,Bachelors,Married,Other-occupations,Husband,White,Male,none,none,parttime,United-States,0
young,Private,Dropout,Married,Blue-collar,Other-relative,White,Male,none,none,fulltime,Latin-America,0
middle-aged,Private,Some-college,Not-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Federal-gov,Masters,Never-married,White-collar,Not-in-family,White,Female,high,none,overtime,United-States,1
middle-aged,Private,Masters,Married,Prof-specialty,Other-relative,White,Male,low,none,fulltime,United-States,1
young,Self-emp,HS-grad,Never-married,Sales,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,none,high,fulltime,United-States,0
young,?,HS-grad,Never-married,?,Own-child,White,Male,none,none,fulltime,Euro-1,0
senior,Private,Bachelors,Married,White-collar,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Other-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,none,low,fulltime,United-States,0
middle-aged,Other-gov,HS-grad,Not-married,Adm-clerical,Unmarried,White,Female,none,none,fulltime,United-States,0
young,Private,Dropout,Never-married,Sales,Own-child,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,Service,Husband,Black,Male,low,none,fulltime,United-States,1
middle-aged,Private,HS-grad,Not-married,Blue-collar,Not-in-family,White,Male,none,none,overtime,United-States,0
senior,Self-emp,HS-grad,Married,Sales,Wife,White,Female,high,none,fulltime,United-States,1
young,Private,Dropout,Never-married,Sales,Own-child,White,Female,none,none,parttime,United-States,0
middle-aged,Other-gov,HS-grad,Married,Blue-collar,Husband,Black,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,none,none,fulltime,United-States,0
senior,Private,HS-grad,Married,Blue-collar,Husband,Asian-Pac-Islander,Male,none,none,fulltime,United-States,0
senior,Self-emp,Dropout,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Bachelors,Never-married,White-collar,Not-in-family,Black,Male,none,none,overtime,United-States,1
senior,Private,Associates,Not-married,Sales,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,Sales,Husband,White,Male,none,none,overtime,Euro-2,0
middle-aged,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,0
young,Private,Dropout,Never-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
senior,?,Dropout,Not-married,?,Not-in-family,White,Male,none,none,fulltime,United-States,0
old,Private,HS-grad,Never-married,Service,Not-in-family,Black,Male,none,high,fulltime,United-States,0
senior,Private,HS-grad,Married,Adm-clerical,Husband,Black,Male,none,none,parttime,United-States,0
senior,Other-gov,Dropout,Never-married,Blue-collar,Not-in-family,White,Female,none,none,fulltime,United-States,0
young,Private,HS-grad,Never-married,Sales,Own-child,White,Female,none,none,fulltime,United-States,0
senior,?,Dropout,Not-married,?,Not-in-family,Amer-Indian-Eskimo,Female,none,none,parttime,United-States,0
old,Self-emp,HS-grad,Married,Blue-collar,Husband,White,Male,low,none,overtime,United-States,0
old,Private,Associates,Widowed,Adm-clerical,Not-in-family,White,Female,none,none,parttime,South-America,0
senior,Private,HS-grad,Not-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Dropout,Separated,Blue-collar,Not-in-family,Black,Male,low,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Not-married,Sales,Unmarried,Black,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Some-college,Not-married,Blue-collar,Other-relative,Other,Female,none,none,fulltime,United-States,0
middle-aged,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,none,none,overtime,United-States,1
senior,Other-gov,HS-grad,Married,Service,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Other-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,White-collar,Husband,White,Male,none,none,overtime,Other,1
middle-aged,Other-gov,Masters,Married,White-collar,Husband,White,Male,none,none,unhealthy,United-States,1
young,Private,HS-grad,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Self-emp,HS-grad,Married,Service,Wife,White,Female,none,none,parttime,United-States,0
young,Other-gov,Associates,Married,Other-occupations,Husband,White,Male,none,none,overtime,United-States,0
young,?,Some-college,Never-married,?,Own-child,White,Male,none,none,parttime,United-States,0
middle-aged,Private,Some-college,Not-married,Blue-collar,Not-in-family,White,Male,none,low,fulltime,United-States,0
senior,Private,HS-grad,Married,Adm-clerical,Husband,White,Male,none,none,fulltime,?,0
senior,Private,HS-grad,Married,Adm-clerical,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,HS-grad,Never-married,Service,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Associates,Married,Other-occupations,Husband,White,Male,none,high,overtime,United-States,1
middle-aged,Private,HS-grad,Married,Adm-clerical,Husband,White,Male,none,none,fulltime,?,0
middle-aged,Private,Prof-school,Married,Prof-specialty,Wife,White,Female,none,none,fulltime,United-States,1
middle-aged,Private,Bachelors,Married,Adm-clerical,Wife,Black,Female,none,none,fulltime,United-States,0
senior,Other-gov,Dropout,Widowed,Service,Unmarried,Black,Female,none,none,fulltime,United-States,0
young,Other-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,none,none,fulltime,United-States,0
senior,Private,Some-college,Never-married,Blue-collar,Not-in-family,White,Male,none,none,parttime,United-States,0
middle-aged,Self-emp,HS-grad,Married,Blue-collar,Husband,Asian-Pac-Islander,Male,none,none,fulltime,SE-Asia,1
young,Private,HS-grad,Never-married,Service,Own-child,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Separated,Service,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Associates,Widowed,White-collar,Not-in-family,White,Female,none,none,overtime,United-States,0
senior,Private,Dropout,Not-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Not-married,Prof-specialty,Own-child,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,Sales,Husband,White,Male,none,none,overtime,United-States,0
young,Private,Dropout,Never-married,Service,Own-child,White,Male,none,none,parttime,United-States,0
senior,Private,Some-college,Married,Sales,Husband,White,Male,low,none,fulltime,United-States,0
middle-aged,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Self-emp,Some-college,Married,White-collar,Husband,Asian-Pac-Islander,Male,none,none,unhealthy,SE-Asia,1
young,?,Some-college,Never-married,?,Own-child,White,Male,none,none,parttime,British-Commonwealth,0
senior,Private,HS-grad,Married,White-collar,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,none,none,overtime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Wife,White,Female,none,none,fulltime,United-States,1
senior,Private,HS-grad,Married,White-collar,Husband,White,Male,none,none,fulltime,United-States,1
young,Private,Dropout,Never-married,Service,Own-child,White,Male,low,none,parttime,United-States,0
senior,Self-emp,Masters,Married,Blue-collar,Husband,White,Male,low,none,unhealthy,United-States,0
middle-aged,Other-gov,Masters,Never-married,Prof-specialty,Own-child,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Not-married,Prof-specialty,Own-child,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,Black,Male,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Married,Blue-collar,Husband,White,Male,low,none,fulltime,United-States,1
middle-aged,Private,Some-college,Never-married,White-collar,Not-in-family,White,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Other-occupations,Own-child,White,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Married,Blue-collar,Wife,White,Female,low,none,overtime,United-States,1
young,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,none,none,parttime,Euro-1,0
middle-aged,Other-gov,Some-college,Married,Blue-collar,Husband,White,Male,low,none,fulltime,United-States,1
middle-aged,Private,Associates,Not-married,Sales,Unmarried,Black,Female,none,none,overtime,United-States,0
